Date,Ticker,Weight,Price
1995-04-06,BCOMTR,0.2394902508437652,116.659
1995-04-06,LBUSTRUU,0.5025790682862163,607.75
1995-04-06,RU10GRTR,4.4181238528784306e-18,172.64
1995-04-06,RU10VATR,-5.421010862427522e-20,181.82
1995-04-06,RU20GRTR,-3.3068166260807885e-18,1152.2
1995-04-06,RU20INTR,0.02452061594893935,946.43
1995-04-06,RU20VATR,0.0982899981132947,1154.59
1995-04-06,S5COND,0.04619107648215696,106.6527
1995-04-06,S5CONS,0.013712898974935626,109.97
1995-04-06,S5ENRS,0.05306406455648019,109.55
1995-04-06,S5FINL,-3.686287386450715e-18,115.22
1995-04-06,S5HLTH,0.022152026794211754,112.16
1995-04-06,S5INDU,5.149960319306146e-19,111.96
1995-04-06,S5INFT,-3.5236570605778894e-19,111.92
1995-04-06,S5MATR,6.505213034913027e-19,109.32
1995-04-06,S5TELS,-4.512991542970912e-18,107.35
1995-04-06,S5UTIL,-1.1831356207248067e-17,106.73
1995-04-06,SPXT,6.776263578034403e-20,638.95
1995-07-11,BCOMTR,0.1032423179275368,115.878
1995-07-11,LBUSTRUU,0.34314974285571404,645.93
1995-07-11,NDDUE15X,2.1873778829895052e-17,
1995-07-11,NDDUJN,0.04929810064497735,
1995-07-11,NDDUUK,0.3070528383281806,
1995-07-11,NDDUWXUS,0.026493075593806537,
1995-07-11,RU10GRTR,-4.892462303340839e-18,192.093
1995-07-11,RU10VATR,9.459663954936026e-18,199.713
1995-07-11,RU20GRTR,1.9000643072808465e-17,1308.978
1995-07-11,RU20INTR,0.019878365256103456,1059.84
1995-07-11,RU20VATR,0.1508855593936811,1273.29
1995-07-11,RUMCINTR,6.329030181884132e-18,1320.34
1995-07-11,RUTPINTR,-1.1357017756785659e-17,999.53
1995-07-11,S5COND,-1.043544591017298e-18,115.1505
1995-07-11,S5CONS,9.540979117872439e-18,116.73
1995-07-11,S5ENRS,8.84980023291293e-18,113.76
1995-07-11,S5FINL,4.8274101729917085e-17,127.82
1995-07-11,S5HLTH,-5.1228552649940085e-18,118.83
1995-07-11,S5INDU,-6.410345344820545e-18,123.96
1995-07-11,S5INFT,-1.3417001884508117e-18,146.55
1995-07-11,S5MATR,-3.496552006265752e-18,122.5
1995-07-11,S5TELS,-3.482999479109683e-18,110.89
1995-07-11,S5UTIL,1.4921332398831755e-17,111.51
1995-07-11,SPXT,7.860465750519907e-19,705.28
1995-10-12,BCOMTR,0.14571894049964115,119.349
1995-10-12,LBUSTRUU,0.48570922660905885,657.63
1995-10-12,NDDUE15X,0.02365970436125109,
1995-10-12,NDDUJN,0.019190831059809895,
1995-10-12,NDDUUK,-2.710505431213761e-18,
1995-10-12,NDDUWXUS,0.0008117165905301518,
1995-10-12,RU10GRTR,-3.1577388273640317e-18,204.0
1995-10-12,RU10VATR,-1.4094628242311558e-18,213.245
1995-10-12,RU20GRTR,1.7957098481791167e-18,1356.903
1995-10-12,RU20INTR,-2.222614453595284e-18,1099.53
1995-10-12,RU20VATR,0.08708783555716554,1322.12
1995-10-12,RUMCINTR,-4.458781434346637e-18,1385.14
1995-10-12,RUTPINTR,4.790818349670323e-18,1071.9301
1995-10-12,S5COND,0.0020821803060431573,114.7657
1995-10-12,S5CONS,0.12282233122220838,127.86
1995-10-12,S5ENRS,-9.554531645028508e-19,113.47
1995-10-12,S5FINL,8.334804200982315e-19,147.22
1995-10-12,S5HLTH,0.05065795892385514,139.08
1995-10-12,S5INDU,3.937009138837988e-18,123.81
1995-10-12,S5INFT,1.0842021724855044e-18,141.92
1995-10-12,S5MATR,-7.589415207398531e-19,115.15
1995-10-12,S5TELS,7.047314121155779e-19,126.92
